"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.370035310E-1,3.348779678E-1,4.104173183E-2,-1.793575287E-1,3.820952763E-1
1.555638960E-1,3.489594460E-1,3.849244118E-2,2.449703217E-2,3.519296343E-1
1.741242610E-1,5.453625917E-1,7.853937149E-2,7.027626038E-3,5.510337348E-1
1.926846250E-1,4.401084185E-1,2.106125951E-1,4.686355591E-3,4.879293465E-1
2.112449900E-1,2.522304058E-1,2.048073411E-1,7.992553711E-2,3.345957502E-1
2.298053540E-1,3.430786133E-1,1.011582613E-1,-3.089523315E-2,3.590131532E-1
2.483657190E-1,2.395299673E-1,1.076998115E-1,-5.391120911E-3,2.626840665E-1
2.669260310E-1,1.956931353E-1,7.156610489E-2,2.300815582E-1,3.104110726E-1
2.855043130E-1,6.190741062E-2,1.003187299E-1,2.279548645E-1,2.566316335E-1
3.040467610E-1,1.721051931E-1,8.512401581E-2,2.582197189E-1,3.217820983E-1
3.226100420E-1,2.268700600E-1,2.189615965E-1,3.348083496E-1,4.599030722E-1
3.411674900E-1,4.571169615E-1,2.714048028E-1,5.050563812E-2,5.340105832E-1
3.597278540E-1,5.079021454E-1,2.585961819E-1,-7.657718658E-2,5.750657702E-1
3.782882190E-1,3.817119598E-1,2.627925873E-1,-1.141271591E-1,4.772724302E-1
3.968485830E-1,3.392672539E-1,2.089317441E-1,3.262414932E-1,5.149643241E-1
4.154089480E-1,2.253593206E-1,1.590383053E-1,4.123916626E-1,4.961319273E-1
4.339692610E-1,2.898651361E-1,1.512909532E-1,2.303133011E-1,3.999437039E-1
4.525296250E-1,2.558676004E-1,1.180400848E-1,2.135276794E-2,2.825909257E-1
4.710899900E-1,9.127902985E-2,1.061317325E-1,-8.932781219E-2,1.660580138E-1
4.896503540E-1,1.155165434E-1,8.813965321E-2,-2.298660278E-1,2.719394437E-1
5.082107190E-1,1.228593588E-1,1.576090455E-1,-2.569961548E-1,3.255488548E-1
5.267710830E-1,2.956296206E-1,2.537316680E-1,-7.954597473E-3,3.896664054E-1
5.453314480E-1,3.602839112E-1,3.259209394E-1,1.586103439E-1,5.110637892E-1
5.638949900E-1,2.584041357E-1,3.100699186E-1,8.458518982E-2,4.123962974E-1
5.824521250E-1,3.839397430E-2,2.735437155E-1,-8.523464203E-2,2.890764704E-1
6.010905630E-1,-5.161142349E-2,2.922419906E-1,-9.941291809E-2,3.129729195E-1
6.195728540E-1,-3.177082539E-2,2.897815704E-1,-1.884212494E-1,3.471099410E-1
6.381332190E-1,6.598198414E-2,4.049304128E-1,-4.413700104E-1,6.026024788E-1
6.566935830E-1,-7.316946983E-2,5.525212884E-1,-4.345588684E-1,7.067354212E-1
6.752539480E-1,-2.188793421E-1,6.801683307E-1,-2.365770340E-1,7.526658073E-1
6.938143130E-1,-2.451432943E-1,7.213089466E-1,-5.985260010E-2,7.641754805E-1
7.123746250E-1,-2.760815620E-1,7.608379126E-1,-3.328456879E-1,8.751466220E-1
7.309349900E-1,-2.929788828E-1,7.431281209E-1,-5.416803360E-1,9.651391694E-1
7.494953540E-1,-2.666646242E-1,7.348883748E-1,-5.636615753E-1,9.637869665E-1
7.680557190E-1,-2.715259790E-1,8.522168994E-1,-3.766126633E-1,9.704829205E-1
7.866160830E-1,-2.916588783E-1,7.783246636E-1,-3.258581161E-1,8.927696765E-1
8.051764480E-1,-3.528575897E-1,8.244943619E-1,-1.811847687E-1,9.149466388E-1
8.237368130E-1,-1.742427349E-1,8.825851679E-1,-2.643585205E-1,9.376580062E-1
8.423002500E-1,4.580998421E-2,8.822106719E-1,-4.729681015E-1,1.002044435E0
8.608574900E-1,-1.098263264E-2,9.693975449E-1,-3.199014664E-1,1.020876666E0
8.794178540E-1,-9.199893475E-2,1.004349828E0,-1.532888412E-1,1.020137172E0
8.979782190E-1,-7.465147972E-2,9.900202155E-1,-1.159524918E-1,9.995788368E-1
9.165385830E-1,-6.921184063E-2,9.957852960E-1,-2.269725800E-1,1.023667518E0
9.350989480E-1,-2.892434597E-2,1.124161482E0,-2.208757401E-1,1.146019960E0
9.536593130E-1,1.387434602E-1,1.206631541E0,-1.508045197E-1,1.223908259E0
9.722196770E-1,1.949244142E-1,1.252083898E0,-1.794891357E-1,1.279814816E0
9.907799900E-1,1.064867973E-1,1.183500051E0,-9.459114075E-2,1.192039972E0
1.009340354E0,-3.548789024E-2,1.162373543E0,-9.193420410E-4,1.162915512E0
1.027900719E0,-3.418278694E-2,1.163015127E0,4.922676086E-2,1.164558252E0
1.046461083E0,1.745863557E-1,1.206205726E0,3.643131256E-2,1.219319437E0
1.065021448E0,3.119196892E-1,1.281606674E0,7.455825806E-3,1.319039480E0
1.083585042E0,4.153714180E-1,1.196649313E0,1.246452332E-2,1.266751103E0
1.102142125E0,3.369396925E-1,1.047112107E0,-8.495330811E-3,1.100020133E0
1.120702490E0,2.894176245E-1,9.460617304E-1,2.000017166E-1,1.009354272E0
1.139262854E0,3.236161470E-1,8.092910051E-1,2.804613113E-1,9.156079340E-1
1.157823219E0,4.022161961E-1,8.068788648E-1,2.105112076E-1,9.258219803E-1
1.176383583E0,3.806738853E-1,8.618022799E-1,8.549690247E-3,9.421724226E-1
1.194943948E0,2.523466945E-1,8.171048760E-1,-1.197547913E-1,8.635279050E-1
1.213504313E0,1.817575693E-1,7.337012291E-1,1.485004425E-1,7.703282995E-1
1.232064625E0,1.973933578E-1,5.191521645E-1,1.998910904E-1,5.902876888E-1
1.250624990E0,9.783977270E-2,2.734038830E-1,5.927057266E-1,6.600169564E-1
1.269185354E0,-3.895390034E-2,1.255198717E-1,8.107204437E-1,8.213040134E-1
1.287745719E0,-1.289098263E-1,1.266075373E-1,9.559593201E-1,9.728851080E-1
1.306306083E0,-5.450488329E-1,-4.829645157E-2,6.369056702E-1,8.396782778E-1
1.324866448E0,-8.485405445E-1,8.186513186E-2,3.435831070E-1,9.191149585E-1
1.343426813E0,-8.414161801E-1,3.615333438E-1,3.475580215E-1,9.795326055E-1
1.361990094E0,-1.344321966E-1,2.148517668E-1,5.106630325E-1,5.700965094E-1
1.380547490E0,4.077678621E-1,-2.720283568E-1,6.003026962E-1,7.750079892E-1
1.399107854E0,4.311565161E-1,-6.201550961E-1,8.188419342E-1,1.113997486E0
1.417668219E0,-2.103659511E-2,-8.755982518E-1,4.021806717E-1,9.637759748E-1
1.436228583E0,-6.194311380E-2,-9.562235475E-1,1.442604065E-1,9.690260507E-1
1.454788948E0,-2.759639919E-1,-2.477093786E-1,-7.858133316E-1,8.689180935E-1
1.473349261E0,-1.711817086E-1,1.543680131E-1,-1.288465500E0,1.308921696E0
1.491909625E0,-6.556412578E-2,1.457818747E-1,-1.002527237E0,1.015190559E0
1.510469990E0,-2.148653865E-1,3.302335739E-2,-6.149291992E-1,6.522235786E-1
1.529030354E0,-1.975718141E-1,-2.868987918E-1,-1.206836700E-1,3.686598522E-1
1.547590719E0,-5.760877952E-2,-4.796387553E-1,-1.072731018E-1,4.948531352E-1
1.566151031E0,6.224754453E-2,-4.879575968E-1,-2.685060501E-1,5.604220481E-1
1.584711396E0,-3.261477649E-1,6.123319268E-2,-8.258152008E-1,8.899958507E-1
1.603320563E0,-4.171664417E-1,1.801750064E-1,-8.200521469E-1,9.375374108E-1
1.621832125E0,-4.320785999E-1,3.270158768E-1,-9.459733963E-1,1.090182080E0
1.640392490E0,-3.939786553E-1,3.235622048E-1,-8.775424957E-1,1.014885468E0
1.658952854E0,-4.134881496E-1,2.334941030E-1,-8.595113754E-1,9.819632124E-1
1.677513219E0,-5.818905234E-1,1.247748137E-1,-7.484073639E-1,9.561793334E-1
1.696073583E0,-6.759014130E-1,1.777940989E-1,-7.625074387E-1,1.034345714E0
1.714633896E0,-6.786710024E-1,2.478028536E-1,-6.480188370E-1,9.705302658E-1
1.733194261E0,-5.858191848E-1,2.532626390E-1,-2.777328491E-1,6.960327701E-1
1.751754625E0,-6.147251129E-1,2.630888820E-1,9.441757202E-2,6.752906057E-1
1.770314990E0,-6.948221922E-1,2.906845212E-1,2.977256775E-1,8.098863801E-1
1.788875354E0,-7.505111098E-1,2.894453406E-1,2.974491119E-1,8.576255042E-1
1.807435667E0,-6.778637171E-1,2.029357553E-1,3.363227844E-1,7.834507994E-1
1.825996031E0,-7.758942246E-1,1.309189200E-1,3.960494995E-1,8.809124914E-1
1.844604104E0,-7.624241710E-1,1.007543206E-1,4.366836548E-1,8.843837764E-1
1.863116761E0,-6.583858132E-1,2.046866417E-1,4.489669800E-1,8.227635441E-1
1.881677125E0,-4.937701523E-1,2.887391448E-1,5.329942703E-1,7.818325583E-1
1.900237490E0,-4.805387259E-1,2.767534256E-1,7.215337753E-1,9.100114914E-1
1.918797802E0,-6.301558018E-1,2.509688139E-1,7.071218491E-1,9.798484523E-1
1.937358167E0,-6.402793527E-1,1.596840620E-1,6.878480911E-1,9.532007373E-1
1.955918531E0,-5.365959406E-1,2.173602581E-2,6.092510223E-1,8.121542135E-1
1.974478896E0,-3.475832939E-1,2.837079763E-2,6.142969131E-1,7.063849842E-1
1.993039261E0,-1.165836379E-1,-1.193517447E-2,1.000216484E0,1.007058691E0
2.011599625E0,8.156867325E-2,-1.480552554E-1,1.455425262E0,1.465208689E0
2.030159938E0,2.339110225E-1,-1.843918860E-1,1.857471466E0,1.881200410E0
2.048720302E0,3.100829720E-1,-2.585021257E-1,1.713507652E0,1.760421334E0
2.067280667E0,2.915974557E-1,-2.485748231E-1,7.406787872E-1,8.339206106E-1
2.085828115E0,2.115860879E-1,-5.689820647E-2,-5.718488693E-1,6.123864857E-1
2.104401396E0,3.526616991E-1,-3.870797157E-2,-1.183780670E0,1.235801463E0
2.122991813E0,4.288290441E-1,-7.703706622E-2,-8.434066772E-1,9.492965195E-1
2.141522073E0,5.018390417E-1,-1.096568108E-1,-1.387939453E-1,5.321003657E-1
2.160082438E0,7.035220265E-1,-2.488607764E-1,-2.696609497E-2,7.467275930E-1
2.178642802E0,8.542519212E-1,-2.873649895E-1,-3.055982590E-1,9.516907470E-1
2.197203167E0,8.697549105E-1,-2.308801711E-1,-7.791576385E-1,1.190321756E0
2.215763531E0,7.295675278E-1,-2.316733897E-1,-9.929332733E-1,1.253737541E0
2.234323844E0,3.933071792E-1,-1.660537720E-1,-9.379777908E-1,1.030566217E0
2.252884208E0,2.436696589E-1,-1.279035211E-1,-8.595151901E-1,9.024968562E-1
2.271444573E0,2.412231565E-1,1.075130701E-2,-9.374494553E-1,9.680473558E-1
2.290004938E0,3.293548822E-1,1.420509219E-1,-1.091718674E0,1.149131309E0
2.308565302E0,4.358886182E-1,2.731366158E-1,-1.211322784E0,1.316018764E0
2.327125615E0,5.309041142E-1,3.414694667E-1,-1.224324226E0,1.377472463E0
2.345685979E0,7.231349945E-1,4.123278260E-1,-1.153531075E0,1.422523250E0
2.364264573E0,8.686302900E-1,5.599175096E-1,-9.570608139E-1,1.408542367E0
2.382806708E0,8.533751965E-1,5.422708988E-1,-8.982200623E-1,1.352444540E0
2.401367073E0,6.929199696E-1,4.586832523E-1,-7.698698044E-1,1.132796507E0
2.419927438E0,4.726550579E-1,4.095433354E-1,-5.131635666E-1,8.089903544E-1
2.438487750E0,3.486969471E-1,3.893719316E-1,-2.675991058E-1,5.872046862E-1
2.457048115E0,2.504913807E-1,4.727177024E-1,-5.150032043E-2,5.374571992E-1
2.475608479E0,2.470652759E-1,5.672897696E-1,-5.722808838E-2,6.213968035E-1
2.494168844E0,3.116970956E-1,5.790476203E-1,-2.619743347E-3,6.576154568E-1
2.512729208E0,3.074527681E-1,6.346017122E-1,1.241264343E-1,7.159985401E-1
2.531289521E0,4.219114184E-1,6.969409585E-1,1.823024750E-1,8.348473735E-1
2.549849886E0,5.053487420E-1,6.635937691E-1,2.545652390E-1,8.720880129E-1
2.568410250E0,3.873568773E-1,5.545551181E-1,6.352205276E-1,9.279449597E-1
2.586970615E0,2.999471426E-1,3.737240434E-1,1.033627510E0,1.139308465E0
2.605578688E0,1.145105362E-1,3.010871410E-1,1.286875725E0,1.326580288E0
