"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.557009490E-1,3.367838860E-1,-1.060955524E-1,-5.147209167E-1,6.241932988E-1
1.742133450E-1,2.735280991E-1,-1.130189896E-1,-4.938478470E-1,5.757400533E-1
1.927745950E-1,7.693111897E-2,-1.080415249E-1,-2.673196793E-1,2.984144418E-1
2.113538660E-1,5.951881409E-3,-1.127409935E-1,-6.550788879E-3,1.130878833E-1
2.299151160E-1,3.852367401E-3,-1.035356522E-2,8.862209320E-2,8.930796409E-2
2.484763660E-1,1.395540237E-1,1.048643589E-1,-4.310703278E-2,1.798056606E-1
2.670196470E-1,2.621684074E-1,1.431868076E-1,-2.458076477E-1,3.868541526E-1
2.855808970E-1,3.999105692E-1,1.688299179E-1,-2.601213455E-1,5.060584145E-1
3.041910530E-1,4.353158474E-1,1.163966656E-1,-2.152462006E-1,4.993786115E-1
3.227511580E-1,2.840783596E-1,1.228876114E-1,-1.762609482E-1,3.561878736E-1
3.413124080E-1,2.946782112E-1,5.276989937E-2,2.988338470E-2,3.008536640E-1
3.598259490E-1,4.151442647E-1,-3.028130531E-2,2.066135406E-1,4.647051465E-1
3.783871990E-1,3.239493966E-1,-2.737522125E-2,2.082376480E-1,3.860771067E-1
3.969962100E-1,3.269642591E-1,-1.927185059E-2,1.044178009E-1,3.437733383E-1
4.155574600E-1,3.492084742E-1,-7.198047638E-2,8.528137207E-2,3.666069555E-1
4.340710010E-1,4.119220376E-1,-1.094372272E-1,3.193407059E-1,5.325737115E-1
4.526322510E-1,3.759399652E-1,-1.134765148E-1,4.103059769E-1,5.679425777E-1
4.712415740E-1,3.192039132E-1,-8.606266975E-2,2.900266647E-1,4.397878893E-1
4.898025120E-1,3.595032692E-1,-2.042746544E-2,3.520584106E-2,3.618001287E-1
5.083638140E-1,4.676946402E-1,7.393264771E-2,-2.604532242E-1,5.404074341E-1
5.268773030E-1,4.661079645E-1,1.457226276E-1,-4.419364929E-1,6.586346351E-1
5.454386050E-1,4.581596255E-1,1.517646313E-1,-3.923721313E-1,6.220117645E-1
5.640178240E-1,5.812664032E-1,1.982800961E-1,-2.101068497E-1,6.490997737E-1
5.825790740E-1,7.183182836E-1,3.054487705E-1,-3.964996338E-2,7.815703599E-1
6.011254800E-1,1.055010676E0,3.293406963E-1,-6.670856476E-2,1.107232069E0
6.196836050E-1,1.152083397E0,3.929283619E-1,-1.396541595E-1,1.225231462E0
6.382449080E-1,1.120187402E0,4.214890003E-1,-1.522512436E-1,1.206504552E0
6.568538660E-1,8.759393692E-1,3.598846197E-1,5.775642395E-2,9.487478709E-1
6.754151680E-1,7.612638474E-1,5.736291409E-1,3.344831467E-1,1.010174248E0
6.939286580E-1,8.307183385E-1,8.337882757E-1,2.956399918E-1,1.213548042E0
7.124899080E-1,9.969177842E-1,8.488252163E-1,3.515338898E-2,1.309803450E0
7.311418870E-1,1.048049569E0,8.330522776E-1,-2.667665482E-1,1.365118452E0
7.496602200E-1,1.141162276E0,1.161094666E0,-4.836988449E-1,1.698339405E0
7.682214700E-1,1.058982849E0,1.488937140E0,-8.159227371E-1,2.001026835E0
7.867349600E-1,8.572620153E-1,1.137359858E0,2.715387344E-1,1.449903063E0
8.052962620E-1,7.596746087E-1,1.055423260E0,1.366480827E0,1.886343982E0
8.239063660E-1,5.459499955E-1,1.214716911E0,1.440898895E0,1.962087714E0
8.424665220E-1,3.439032137E-1,1.370793939E0,1.010643959E0,1.737454073E0
8.610277720E-1,5.396387577E-1,1.265954733E0,3.655319214E-1,1.423890782E0
8.795412620E-1,8.086563349E-1,1.066830635E0,-1.104698181E-1,1.343226062E0
8.981025640E-1,8.851319551E-1,8.486541510E-1,-1.521968842E-1,1.235652191E0
9.166817830E-1,1.055473328E0,6.321048737E-1,4.245281219E-2,1.231008837E0
9.352430330E-1,1.149190426E0,6.246306896E-1,-5.104351044E-2,1.308971953E0
9.537863140E-1,9.947490096E-1,6.220524311E-1,-4.444408417E-1,1.254592556E0
9.723476160E-1,8.117355108E-1,5.997422338E-1,-5.670032501E-1,1.157626007E0
9.909567830E-1,8.830818534E-1,6.284059882E-1,-2.477025986E-1,1.111793247E0
1.009518970E0,1.131705165E0,7.051043510E-1,-2.408695221E-2,1.333607479E0
1.028080533E0,1.345350742E0,6.570511460E-1,5.735111237E-2,1.498323723E0
1.046592668E0,1.586885452E0,5.680412054E-1,-3.226528168E-1,1.716094721E0
1.065153918E0,1.691741109E0,5.712480545E-1,-3.171167374E-1,1.813525667E0
1.083764074E0,1.332851887E0,6.580677629E-1,-3.047857285E-1,1.517379871E0
1.102324178E0,9.660120606E-1,8.250410557E-1,-4.496603012E-1,1.347615090E0
1.120885428E0,1.123955727E0,8.404325843E-1,-4.094657898E-1,1.461938999E0
1.139398970E0,1.240894914E0,6.676844954E-1,-3.729009628E-1,1.457627490E0
1.157960220E0,9.274383187E-1,4.486183524E-1,7.889652252E-2,1.033259368E0
1.176521470E0,4.841521382E-1,5.747442245E-1,5.641059875E-1,9.396540756E-1
1.195082720E0,4.292047024E-1,5.032030344E-1,6.217145920E-1,9.077218760E-1
1.213644022E0,7.706730366E-1,3.726055026E-1,6.430530548E-1,1.070648879E0
1.232205272E0,8.257724643E-1,5.232321620E-1,1.815347672E-1,9.942972040E-1
1.250814178E0,5.275002718E-1,4.678386450E-1,-3.495311737E-2,7.059399797E-1
1.269345793E0,1.483200788E-1,3.999814391E-1,-2.142782211E-1,4.773878439E-1
1.287889074E0,-1.235830784E-1,3.776641488E-1,-3.078489304E-1,5.026668385E-1
1.306450324E0,-8.486843109E-2,3.335473537E-1,-3.153743744E-1,4.668163277E-1
1.325011574E0,-1.120341420E-1,1.839079261E-1,-2.951450348E-1,3.653551229E-1
1.343620585E0,7.457125187E-2,3.625655174E-2,-1.049747467E-1,1.337725928E-1
1.362181835E0,5.864561796E-1,-1.604177356E-1,3.871669769E-1,7.208071646E-1
1.380743085E0,6.563422084E-1,-4.128574729E-1,6.945724487E-1,1.040993407E0
1.399256626E0,5.797195435E-2,-6.436066628E-1,1.090398788E0,1.267501401E0
1.417817876E0,-5.800712109E-1,-7.299028635E-1,1.042897224E0,1.398883634E0
1.436426887E0,-8.047894239E-1,-5.976536274E-1,5.007963181E-1,1.120568082E0
1.454989283E0,-4.253249764E-1,-3.636483848E-1,-2.740907669E-1,6.231109306E-1
1.473501678E0,-2.347201109E-2,-1.270609498E-1,-1.086931229E0,1.094584358E0
1.492062928E0,1.056745052E-1,1.092873216E-1,-1.296105385E0,1.304990417E0
1.510672199E0,7.194870710E-2,1.518042684E-1,-8.519973755E-1,8.684012207E-1
1.529203449E0,-1.972784996E-1,-1.516231894E-1,1.370000839E-1,2.840377105E-1
1.547764699E0,-6.312277913E-1,-2.389075756E-1,5.893278122E-1,8.960092770E-1
1.566307980E0,-1.050478339E0,-2.348131537E-1,-9.890747070E-2,1.080936930E0
1.584869230E0,-1.196210623E0,3.540375233E-1,-6.757526398E-1,1.418768498E0
1.603478293E0,4.856553674E-1,-3.789475560E-1,-6.403808594E-1,8.885662784E-1
1.622039543E0,4.771468043E-1,-1.405877471E-1,-3.828048706E-1,6.276731287E-1
1.640600793E0,4.338216782E-2,2.495473623E-2,-6.554498672E-1,6.573578020E-1
1.659114283E0,-2.487546206E-1,-1.525050402E-2,-7.066669464E-1,7.493261054E-1
